Louvain_Community,Louvain_Size,Best_GT_Community,GT_Size,Intersection,Precision,Recall,F1,Jaccard
3,10990,34499,26533,9697,0.8823475887170155,0.3654694154449176,0.5168563281187538,0.3484870265219579
77,1225,51784,2464,948,0.7738775510204081,0.3847402597402597,0.5139604228788288,0.3458591754834002
2,11458,7583,26967,9676,0.8444754756502008,0.3588089145993251,0.5036304489264801,0.33656822846012036
140,350,734,850,301,0.86,0.35411764705882354,0.5016666666666667,0.3348164627363737
4,8839,14934,19390,6450,0.7297205566240524,0.33264569365652397,0.4569768677601048,0.29615684834014416
0,12666,27465,29110,9134,0.7211432180641086,0.31377533493644794,0.437284565300651,0.279823540224251
27,3421,3035,3853,1538,0.44957614732534346,0.39916947832857513,0.4228759967005774,0.2681311018131102
147,269,734,850,235,0.8736059479553904,0.27647058823529413,0.420017873100983,0.2658371040723982
17,5081,13167,12525,3466,0.6821491832316473,0.27672654690618764,0.3937294104282631,0.24512022630834512
149,255,51122,438,134,0.5254901960784314,0.3059360730593607,0.3867243867243867,0.23971377459749552
134,398,35524,607,172,0.4321608040201005,0.2833607907742998,0.34228855721393037,0.2064825930372149
7,6767,4464,20331,4581,0.6769617260233486,0.22532093846834883,0.33810613329397005,0.20344628502908912
1,12446,27209,44437,8426,0.6770046601317693,0.18961676080743525,0.2962572297522986,0.1738861258435314
150,248,38354,621,127,0.5120967741935484,0.20450885668276972,0.29228998849252014,0.1711590296495957
6,6949,63016,28345,4728,0.6803856670024464,0.16680190509790085,0.26792089306964356,0.15468167244650918
58,1712,12107,5524,950,0.5549065420560748,0.1719768283852281,0.2625760088446656,0.15112949411390392
59,1671,59340,6266,1041,0.6229802513464991,0.16613469518033833,0.2623157364243417,0.15095707656612528
100,797,734,850,212,0.2659974905897114,0.24941176470588236,0.25743776563448695,0.14773519163763066
162,142,3389,949,139,0.9788732394366197,0.1464699683877766,0.25481209899175067,0.14600840336134455
15,5169,34499,26533,3940,0.7622364093635132,0.14849432781818867,0.24856475932117844,0.14192061090699518
23,3999,13666,11118,1823,0.45586396599149787,0.16396833962942975,0.24118542038764304,0.13712953211975326
11,5919,59949,13427,2194,0.37067072140564283,0.16340210024577345,0.22681691305696267,0.1279151119402985
21,4494,4464,20331,2812,0.62572318647085,0.1383109537160002,0.22654582074521648,0.12774269749693362
168,115,3389,949,111,0.9652173913043478,0.11696522655426765,0.2086466165413534,0.11647429171038824
16,5112,27465,29110,3519,0.6883802816901409,0.12088629336997596,0.2056571795920753,0.1146142070807413
38,2731,59949,13427,1617,0.5920908092273892,0.12042898637074552,0.20014853323431117,0.11120280585929442
54,1939,13666,11118,1306,0.6735430634347602,0.11746717035438028,0.2000459523627173,0.11113947749127734
45,2354,13666,11118,1323,0.5620220900594732,0.11899622234214786,0.19640736342042756,0.10889785167503498
163,138,3389,949,106,0.7681159420289855,0.11169652265542676,0.19503219871205152,0.10805300713557595
44,2359,67815,9649,1159,0.4913098770665536,0.12011607420458079,0.19303797468354428,0.10683012259194395
8,6297,63016,28345,3282,0.5212005717008099,0.11578761686364439,0.18948097684891174,0.10465561224489796
10,5960,64600,53551,5538,0.9291946308724832,0.10341543575283375,0.18611685234662498,0.10260685898504808
53,1996,51176,10219,1130,0.5661322645290581,0.11057833447499756,0.18501841997544002,0.10193955796120883
56,1782,67815,9649,1051,0.5897867564534232,0.10892320447714789,0.18388592424109876,0.101252408477842
41,2437,13666,11118,1243,0.5100533442757489,0.11180068357618277,0.183400959055699,0.10095841455490578
31,3175,13167,12525,1338,0.42141732283464567,0.10682634730538922,0.17044585987261146,0.09316251218493246
68,1400,67815,9649,927,0.6621428571428571,0.09607213182713234,0.16779799076839533,0.0915826911677534
95,891,12107,5524,523,0.5869809203142536,0.0946777697320782,0.16305533904910366,0.08876442634080109
13,5814,27209,44437,4008,0.6893704850361198,0.09019510768053648,0.1595192135479891,0.08667257747118483
37,2781,27465,29110,2543,0.9144192736425746,0.08735829611817245,0.15948073124078896,0.08664985688973695
64,1553,12107,5524,555,0.3573728267868641,0.10047067342505431,0.1568461212378126,0.08509659613615456
81,1089,13666,11118,943,0.8659320477502296,0.08481741320381364,0.15450151552387975,0.08371803977272728
18,4784,64600,53551,4456,0.931438127090301,0.0832103975649381,0.15277277792063082,0.08270383637409752
145,306,51784,2464,211,0.6895424836601307,0.08563311688311688,0.15234657039711189,0.08245408362641657
20,4543,64600,53551,4400,0.9685230024213075,0.08216466545909507,0.15147863806933592,0.08194584124855664
102,786,12107,5524,477,0.6068702290076335,0.08635047067342505,0.15118858954041203,0.0817761014915138
19,4589,64600,53551,4292,0.9352800174329919,0.08014789639782637,0.1476436188510492,0.07970583865696033
24,3992,3874,20946,1794,0.44939879759519036,0.08564881122887424,0.14387681449995993,0.07751469063256136
40,2585,14934,19390,1563,0.604642166344294,0.08060856111397628,0.14225255972696246,0.07657260435038213
25,3866,7583,26967,2068,0.5349198137609933,0.076686320317425,0.13414199072422406,0.07189292543021032
113,640,3035,3853,295,0.4609375,0.07656371658447962,0.13131537947918986,0.070271557884707
33,3078,7583,26967,1902,0.6179337231968811,0.07053064857047503,0.12661008487269096,0.06758341328216608
28,3387,34499,26533,1834,0.5414821375848834,0.06912147137526853,0.12259358288770054,0.06529943744214199
32,3148,59949,13427,982,0.3119440914866582,0.0731362180680718,0.11849170437405732,0.0629769768485859
48,2150,4464,20331,1266,0.5888372093023255,0.062269440755496536,0.1126284417952938,0.05967475842564223
52,2073,7583,26967,1634,0.7882296189097926,0.06059257611154374,0.11253443526170799,0.05962198058819237
29,3324,64600,53551,3183,0.9575812274368231,0.05943866594461355,0.11192967032967036,0.05928257468524175
50,2112,4464,20331,1221,0.578125,0.060056072008263246,0.10880898275631602,0.057534633870511734
9,5969,63016,28345,1805,0.30239571117440106,0.06367966131592874,0.10520487264673312,0.055523085914669784
34,2994,64600,53551,2898,0.9679358717434869,0.0541166364773767,0.10250243169157308,0.0540197960743378
43,2382,7583,26967,1482,0.6221662468513854,0.05495605740349316,0.10099151589491975,0.053181182043276994
51,2083,27465,29110,1574,0.7556409025444071,0.054070766059773276,0.10092007822267818,0.05314156453627739
30,3190,64600,53551,2844,0.8915360501567398,0.05310825194674236,0.10024497277101214,0.05276731543499638
96,870,59671,7885,401,0.46091954022988507,0.05085605580215599,0.09160479725870932,0.048000957625089775
62,1643,27465,29110,1378,0.8387096774193549,0.04733768464445208,0.08961727311156636,0.04691063829787234
55,1882,67815,9649,507,0.269394261424017,0.052544305109337754,0.0879368658399098,0.045990566037735846
36,2914,64600,53551,2460,0.8442004118050789,0.04593751750667588,0.0871336225980696,0.045551337839088976
69,1354,34499,26533,1104,0.8153618906942393,0.04160856292164474,0.07917667730483738,0.041220176977933766
97,847,3876,8194,353,0.4167650531286895,0.04308030266048328,0.07808870700143788,0.04063075506445672
39,2677,14934,19390,832,0.31079566679118414,0.04290871583290356,0.07540671591063579,0.03918059806922534
107,721,59340,6266,263,0.3647711511789182,0.041972550271305455,0.0752826678116502,0.03911362284354551
66,1451,27465,29110,1146,0.7898001378359751,0.03936791480590862,0.07499754589182292,0.038959714431412544
65,1511,63016,28345,1116,0.7385837193911317,0.0393720232845299,0.0747588424437299,0.03883089770354906
79,1166,7583,26967,1051,0.9013722126929674,0.03897356027737605,0.07471652507731133,0.03880806439701647
42,2413,14934,19390,808,0.33485288023207627,0.041670964414646725,0.07411824060909049,0.03848535365563229
47,2156,64600,53551,2051,0.9512987012987013,0.038299938376500905,0.07363527025328953,0.0382249888176532
71,1326,27465,29110,1082,0.8159879336349924,0.037169357609069045,0.07110001314233144,0.03686039381344962
35,2934,27209,44437,1661,0.5661213360599864,0.03737876094245786,0.07012729306959954,0.036337781667031284
46,2198,64600,53551,1953,0.8885350318471338,0.03646990719127561,0.07006403702308561,0.03630381440999331
70,1347,13666,11118,388,0.28804751299183373,0.034898363014930746,0.062254312073806654,0.03212718390328724
137,378,13666,11118,352,0.9312169312169312,0.03166037057024645,0.061238691718858734,0.03158650394831299
83,1064,27465,29110,914,0.8590225563909775,0.03139814496736517,0.06058195797706635,0.031237183868762817
57,1713,64600,53551,1595,0.9311150029188558,0.029784691228921963,0.057722929936305734,0.02971920475507276
75,1244,59949,13427,412,0.3311897106109325,0.030684441796380427,0.05616522391111717,0.028894031839539938
109,664,13666,11118,322,0.48493975903614456,0.028962043533009536,0.05465965031403837,0.028097731239092497
61,1649,64600,53551,1502,0.9108550636749545,0.028048028981718362,0.05442028985507247,0.02797124660136318
49,2146,27209,44437,1218,0.5675675675675675,0.02740959110651034,0.052293755232595586,0.026848892317866198
124,554,59340,6266,167,0.30144404332129965,0.026651771465049472,0.04897360703812317,0.0251014579888772
67,1429,63016,28345,708,0.49545136459062283,0.024977950255777034,0.04755827231812991,0.02435835684304686
89,973,34499,26533,636,0.6536485097636177,0.023970150378773602,0.04624445575510797,0.02366951991068106
185,65,51784,2464,51,0.7846153846153846,0.020698051948051948,0.04033214709371293,0.020581113801452784
74,1252,7583,26967,562,0.4488817891373802,0.020840286275818593,0.03983131932385981,0.020320352894384785
78,1200,64600,53551,1055,0.8791666666666667,0.019700845922578477,0.03853810889298826,0.01964764600715137
63,1589,27465,29110,591,0.37193203272498426,0.020302301614565442,0.038502882830059613,0.019629334396173776
94,895,4464,20331,404,0.45139664804469276,0.01987113275293886,0.03806652218976727,0.019402554989914514
80,1105,64600,53551,1037,0.9384615384615385,0.01936471774570036,0.03794642857142857,0.019340159271899887
118,602,27465,29110,537,0.8920265780730897,0.018447268979732052,0.0361470113085622,0.01840616966580977
76,1236,64600,53551,973,0.7872168284789643,0.018169595339022612,0.03551937503422344,0.01808079681867172
103,783,4464,20331,363,0.46360153256704983,0.01785450789434853,0.034384768400113674,0.017493132861066938
99,802,34499,26533,441,0.5498753117206983,0.01662081181924396,0.03226632522407171,0.01639770952628839
92,918,7583,26967,446,0.485838779956427,0.01653873252493789,0.03198852429621661,0.016254236670432597
90,969,14934,19390,310,0.31991744066047473,0.01598762248581743,0.030453362149417948,0.015462117811362162
131,465,34499,26533,387,0.832258064516129,0.014585610371989598,0.02866879028076154,0.014542858216527
87,992,64600,53551,765,0.7711693548387096,0.014285447517319938,0.028051262306803805,0.014225147829967645
98,805,27465,29110,418,0.5192546583850932,0.014359326691858468,0.02794584656526826,0.014170932637217344
93,905,64600,53551,755,0.8342541436464088,0.01409870964127654,0.027728808579403554,0.014059328504124691
104,779,64600,53551,743,0.9537869062901155,0.013874624190024464,0.027351371249769926,0.013865303151883852
88,977,64600,53551,742,0.759467758444217,0.013855950402420122,0.02721537558685446,0.013795411445357527
136,382,14934,19390,267,0.6989528795811518,0.013769984528107272,0.027007889945377297,0.013688797744168162
86,1015,34499,26533,360,0.35467980295566504,0.013568009648362417,0.026136198635109627,0.013241135795203767
152,219,67815,9649,126,0.5753424657534246,0.013058348015338377,0.025537089582488855,0.012933689180866351
114,626,4464,20331,256,0.40894568690095845,0.012591608873149378,0.024430977716276184,0.012366552340466644
127,487,7583,26967,331,0.6796714579055442,0.012274261133978566,0.024113061848910905,0.012203664786343693
72,1306,64600,53551,635,0.48621745788667686,0.011857855128755765,0.023151101955994676,0.011711113570137582
110,661,64600,53551,584,0.8835098335854765,0.010905491960934436,0.021545045377407212,0.010889833668978891
105,759,27209,44437,474,0.6245059288537549,0.010666786686770034,0.020975307549340648,0.010598810428871697
170,112,51176,10219,107,0.9553571428571429,0.010470691848517467,0.020714354854321944,0.010465571205007825
115,625,64600,53551,561,0.8976,0.010475994846034621,0.020710277613703486,0.010463489695048027
111,650,63016,28345,299,0.46,0.010548597636267419,0.020624245559579236,0.010419570671870644
85,1063,27209,44437,461,0.4336782690498589,0.010374237684812207,0.020263736263736266,0.010235573613978996
91,923,64600,53551,544,0.5893824485373781,0.010158540456760845,0.019972831075375407,0.010087150009271278
130,465,34499,26533,267,0.5741935483870968,0.010062940489202126,0.019779242906881992,0.00998840297781602
138,368,4464,20331,192,0.5217391304347826,0.009443706654862034,0.018551620851248854,0.009362656653825524
126,528,34499,26533,246,0.4659090909090909,0.009271473259714318,0.01818114629910203,0.009173969793026291
143,332,7583,26967,234,0.7048192771084337,0.008677272221604183,0.017143485109344662,0.008645852577129133
116,616,64600,53551,464,0.7532467532467533,0.008664637448413661,0.01713220226337069,0.008640113215276614
122,560,64600,53551,452,0.8071428571428572,0.008440551997161583,0.016706399807802478,0.008423563614677873
101,795,63016,28345,236,0.2968553459119497,0.008325983418592345,0.016197666437886067,0.008164959867146417
202,40,64598,5115,40,1.0,0.007820136852394917,0.015518913676042677,0.007820136852394917
