GT_Community,GT_Size,Best_Louvain,Louvain_Size,Intersection,Precision,Recall,F1,Jaccard
119,5,3,10990,5,0.00045495905368516835,1.0,0.0009095043201455208,0.00045495905368516835
120,5,50,2112,5,0.0023674242424242425,1.0,0.004723665564478035,0.0023674242424242425
121,10,42,2413,10,0.004144218814753419,1.0,0.008254230293025177,0.004144218814753419
122,8,42,2413,8,0.003315375051802735,1.0,0.00660883932259397,0.003315375051802735
123,18,8,6297,17,0.0026996982690169922,0.9444444444444444,0.005384006334125099,0.0026992696093998095
124,3,7,6767,3,0.0004433279148810403,1.0,0.0008862629246676514,0.0004433279148810403
125,4,49,2146,4,0.001863932898415657,1.0,0.0037209302325581397,0.001863932898415657
126,7,75,1244,7,0.005627009646302251,1.0,0.011191047162270184,0.005627009646302251
127,5,75,1244,5,0.0040192926045016075,1.0,0.008006405124099279,0.0040192926045016075
128,5,75,1244,5,0.0040192926045016075,1.0,0.008006405124099279,0.0040192926045016075
129,4,3,10990,4,0.0003639672429481347,1.0,0.0007276696379843551,0.0003639672429481347
130,3,2,11458,3,0.00026182579856868566,1.0,0.000523514527528139,0.00026182579856868566
131,3,2,11458,3,0.00026182579856868566,1.0,0.000523514527528139,0.00026182579856868566
132,4,16,5112,4,0.000782472613458529,1.0,0.0015637216575449572,0.000782472613458529
133,19,153,214,19,0.08878504672897196,1.0,0.1630901287553648,0.08878504672897196
134,10,153,214,10,0.04672897196261682,1.0,0.08928571428571429,0.04672897196261682
135,3,153,214,3,0.014018691588785047,1.0,0.027649769585253458,0.014018691588785047
136,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
137,7,153,214,7,0.03271028037383177,1.0,0.06334841628959276,0.03271028037383177
138,53,5,8566,50,0.0058370301190754145,0.9433962264150944,0.011602274045712959,0.005834986579530867
139,3,111,650,3,0.004615384615384616,1.0,0.009188361408882083,0.004615384615384616
140,3,31,3175,3,0.0009448818897637795,1.0,0.0018879798615481437,0.0009448818897637795
141,5,228,10,5,0.5,1.0,0.6666666666666666,0.5
142,6,228,10,6,0.6,1.0,0.7499999999999999,0.6
143,4,113,640,4,0.00625,1.0,0.012422360248447204,0.00625
144,9,43,2382,7,0.002938706968933669,0.7777777777777778,0.005855290673358427,0.002936241610738255
145,3,43,2382,3,0.0012594458438287153,1.0,0.002515723270440252,0.0012594458438287153
146,3,145,306,3,0.00980392156862745,1.0,0.01941747572815534,0.00980392156862745
147,12,51,2083,9,0.0043206913106096975,0.75,0.008591885441527445,0.004314477468839885
148,7,8,6297,7,0.0011116404637128792,1.0,0.002220812182741117,0.0011116404637128792
149,3,3,10990,3,0.000272975432211101,1.0,0.0005458018739197671,0.000272975432211101
150,281,97,847,138,0.16292798110979928,0.49110320284697506,0.2446808510638298,0.1393939393939394
151,5,162,142,5,0.035211267605633804,1.0,0.06802721088435375,0.035211267605633804
152,6,35,2934,6,0.002044989775051125,1.0,0.004081632653061225,0.002044989775051125
153,65,22,4396,58,0.013193812556869881,0.8923076923076924,0.026003138309796007,0.013172836702248466
154,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
155,4,0,12666,4,0.00031580609505763463,1.0,0.0006314127861089188,0.00031580609505763463
156,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
157,4,0,12666,4,0.00031580609505763463,1.0,0.0006314127861089188,0.00031580609505763463
158,3,26,3627,3,0.0008271298593879239,1.0,0.0016528925619834713,0.0008271298593879239
159,9,31,3175,5,0.0015748031496062992,0.5555555555555556,0.0031407035175879394,0.0015728216420257944
160,3,31,3175,2,0.0006299212598425197,0.6666666666666666,0.0012586532410320955,0.0006297229219143577
161,4,31,3175,4,0.0012598425196850393,1.0,0.0025165146272412707,0.0012598425196850393
162,7,12,5837,7,0.0011992461881103306,1.0,0.002395619438740589,0.0011992461881103306
163,3,16,5112,2,0.0003912363067292645,0.6666666666666666,0.0007820136852394918,0.00039115978877371407
164,5,0,12666,3,0.00023685457129322596,0.6,0.00047352221608397134,0.0002368171771392485
165,4,24,3992,4,0.001002004008016032,1.0,0.0020020020020020016,0.001002004008016032
166,4,6,6949,4,0.0005756223917110375,1.0,0.0011505824823817058,0.0005756223917110375
167,6,6,6949,6,0.0008634335875665563,1.0,0.0017253774263120056,0.0008634335875665563
168,5,37,2781,5,0.0017979144192736426,1.0,0.003589375448671931,0.0017979144192736426
169,13,43,2382,7,0.002938706968933669,0.5384615384615384,0.0058455114822546965,0.002931323283082077
170,12,40,2585,11,0.00425531914893617,0.9166666666666666,0.008471313053523296,0.004253673627223511
171,11,40,2585,11,0.00425531914893617,1.0,0.008474576271186442,0.00425531914893617
172,7,40,2585,7,0.0027079303675048355,1.0,0.005401234567901234,0.0027079303675048355
173,3,4,8839,3,0.0003394049100576988,1.0,0.0006785795068988916,0.0003394049100576988
174,3,14,5454,3,0.00055005500550055,1.0,0.0010995052226498074,0.00055005500550055
175,4,154,189,4,0.021164021164021163,1.0,0.04145077720207253,0.021164021164021163
176,79,115,625,79,0.1264,1.0,0.22443181818181818,0.1264
177,41,115,625,41,0.0656,1.0,0.12312312312312312,0.0656
178,5,33,3078,5,0.0016244314489928524,1.0,0.003243593902043464,0.0016244314489928524
179,3,96,870,2,0.0022988505747126436,0.6666666666666666,0.004581901489117983,0.002296211251435132
180,4,86,1015,3,0.002955665024630542,0.75,0.005888125613346419,0.002952755905511811
181,5,86,1015,3,0.002955665024630542,0.6,0.005882352941176471,0.0029498525073746312
182,4,17,5081,3,0.000590434953749262,0.75,0.0011799410029498527,0.0005903187721369539
183,9,74,1252,9,0.00718849840255591,1.0,0.014274385408406027,0.00718849840255591
184,5,24,3992,5,0.00125250501002004,1.0,0.002501876407305479,0.00125250501002004
185,5,14,5454,5,0.0009167583425009168,1.0,0.0018318373328448435,0.0009167583425009168
186,4,18,4784,4,0.0008361204013377926,1.0,0.001670843776106934,0.0008361204013377926
187,4,20,4543,4,0.0008804754567466431,1.0,0.0017594018033868484,0.0008804754567466431
188,10,36,2914,10,0.0034317089910775567,1.0,0.006839945280437756,0.0034317089910775567
189,4,117,603,4,0.006633499170812604,1.0,0.013179571663920923,0.006633499170812604
190,5,28,3387,5,0.0014762326542663124,1.0,0.00294811320754717,0.0014762326542663124
191,6,151,236,6,0.025423728813559324,1.0,0.04958677685950414,0.025423728813559324
192,18,21,4494,18,0.004005340453938585,1.0,0.00797872340425532,0.004005340453938585
193,5,13,5814,4,0.0006879944960440316,0.8,0.0013748066678123387,0.0006878761822871883
194,34,21,4494,34,0.0075656430796617715,1.0,0.015017667844522969,0.0075656430796617715
195,14,21,4494,14,0.003115264797507788,1.0,0.006211180124223603,0.003115264797507788
196,3,131,465,3,0.0064516129032258064,1.0,0.012820512820512822,0.0064516129032258064
197,4,4,8839,4,0.00045253988007693175,1.0,0.0009046703607373062,0.00045253988007693175
198,410,67,1429,291,0.20363890832750176,0.7097560975609756,0.3164763458401305,0.187984496124031
199,231,67,1429,164,0.11476557032890133,0.70995670995671,0.19759036144578312,0.10962566844919786
200,3,28,3387,3,0.0008857395925597874,1.0,0.0017699115044247787,0.0008857395925597874
201,3,23,3999,3,0.0007501875468867217,1.0,0.0014992503748125937,0.0007501875468867217
202,14,23,3999,14,0.003500875218804701,1.0,0.00697732369798156,0.003500875218804701
203,3,8,6297,3,0.0004764173415912339,1.0,0.0009523809523809524,0.0004764173415912339
204,3,26,3627,3,0.0008271298593879239,1.0,0.0016528925619834713,0.0008271298593879239
205,5,6,6949,5,0.000719527989638797,1.0,0.0014380212827149843,0.000719527989638797
206,5,6,6949,5,0.000719527989638797,1.0,0.0014380212827149843,0.000719527989638797
207,3,101,795,3,0.0037735849056603774,1.0,0.0075187969924812035,0.0037735849056603774
208,3,53,1996,3,0.001503006012024048,1.0,0.0030015007503751876,0.001503006012024048
209,11,146,274,11,0.040145985401459854,1.0,0.07719298245614035,0.040145985401459854
210,11,19,4589,11,0.002397036391370669,1.0,0.004782608695652175,0.002397036391370669
211,13,101,795,13,0.016352201257861635,1.0,0.03217821782178218,0.016352201257861635
212,4,19,4589,4,0.0008716495968620615,1.0,0.0017417809710428911,0.0008716495968620615
213,4,17,5081,4,0.000787246604999016,1.0,0.0015732546705998034,0.000787246604999016
